2021-03-01 11:21:36.646 [main] INFO  top.anets.EinvoiceApplication - Starting EinvoiceApplication on WIN-3DFGP6SS4I1 with PID 13296 (D:\eclipse-sts\workspace\tmooc\E-invoice\target\classes started by Administrator in D:\eclipse-sts\workspace\tmooc\E-invoice)
2021-03-01 13:42:57.297 [http-nio-2000-exec-4] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 请求报文:<?xml version='1.0' encoding='UTF-8'?> <interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ0.2"> <globalInfo> <appId>6d29f136114544bcc73edcce960c430231183cc192c433e2b9ebcad56e8ceb08</appId> <interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode> <requestCode>DZFPQZ</requestCode> <requestTime>2021-03-01 13:42:57</requestTime> <responseCode>DS</responseCode> <dataExchangeId>DZFPQZDFXJ10082021030159915580-</dataExchangeId> </globalInfo> <returnStateInfo> <returnCode></returnCode> <returnMessage></returnMessage> </returnStateInfo> <Data><dataDescription> <zipCode>0</zipCode> </dataDescription> <content>PFJFUVVFU1RfQ09NTU9OX0ZQS1NIQyBjbGFzcz0iUkVRVUVTVF9DT01NT05fRlBLU0hDIj48RlBRUUxTSD4wMDAwMDA5MjgzMTAxPC9GUFFRTFNIPjxYU0ZfTUM+55m+5pe655S15a2Q5rWL6K+VMjwvWFNGX01DPjxYU0ZfTlNSU0JIPjExMDEwOTUwMDMyMTY1NTwvWFNGX05TUlNCSD48WUZQX0RNPjA1MDAwMzUyMTEwNzwvWUZQX0RNPjxZRlBfSE0+MzU2ODcwNjM8L1lGUF9ITT48L1JFUVVFU1RfQ09NTU9OX0ZQS1NIQz4=</content> <contentKey>4qH14G2qs3BsYt8AlJjn4L2B4xqvmSJilLdQWJfiJOhU4pYCt+SUydvtom101qqc</contentKey> </Data> </interface>
2021-03-01 13:42:57.297 [http-nio-2000-exec-4] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址-----:E:/zhys/e-invoice/service/access/2000.pfx
2021-03-01 13:42:57.297 [http-nio-2000-exec-4] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码-----:71817N
2021-03-01 13:42:57.297 [http-nio-2000-exec-4] INFO  top.anets.utils.guoXin.RequestUtils - http请求开始，请求地址：https://dev.fapiao.com:18944/fpt-dsqz/invoice
2021-03-01 13:43:10.102 [http-nio-2000-exec-8] INFO  top.anets.vo.Logs - org:2000/00正在停止开票
2021-03-01 13:43:10.355 [pool-2-thread-2] INFO  top.anets.controller.BrowserController - 用户收到的消息：{"type":"log","data":{"orgId":"2000","orgMachine":"00","level":"info","day":"2021-03-01","time":"13:43:10","content":"正在停止开票"}}
2021-03-01 13:43:10.375 [http-nio-2000-exec-8] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 处理正在开票的数据
2021-03-01 13:43:10.413 [pool-2-thread-2] INFO  top.anets.controller.BrowserController - 目标用户离线
2021-03-01 13:43:10.413 [pool-2-thread-2] INFO  top.anets.controller.BrowserController - 停止开票
2021-03-01 13:43:16.281 [http-nio-2000-exec-9] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整组开具:0000009283/101
2021-03-01 13:43:21.558 [http-nio-2000-exec-10] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:0000009283
2021-03-01 13:43:21.583 [http-nio-2000-exec-10] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址:E:/zhys/e-invoice/service/access/2000.pfx
2021-03-01 13:43:21.583 [http-nio-2000-exec-10] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码:71817N
2021-03-01 13:43:21.583 [http-nio-2000-exec-10] INFO  top.anets.utils.GuoXin - 请求xml内容:<REQUEST_COMMON_FPKSHC class="REQUEST_COMMON_FPKSHC"><FPQQLSH>0000009283101</FPQQLSH><XSF_MC>百旺电子测试2</XSF_MC><XSF_NSRSBH>110109500321655</XSF_NSRSBH><YFP_DM>050003521107</YFP_DM><YFP_HM>35687063</YFP_HM></REQUEST_COMMON_FPKSHC>
2021-03-01 13:43:21.584 [http-nio-2000-exec-10] INFO  top.anets.utils.GuoXin - 秘钥:5EE6C2C11DD421F2
2021-03-01 13:43:21.585 [http-nio-2000-exec-10] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 请求报文:<?xml version='1.0' encoding='UTF-8'?> <interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ0.2"> <globalInfo> <appId>6d29f136114544bcc73edcce960c430231183cc192c433e2b9ebcad56e8ceb08</appId> <interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode> <requestCode>DZFPQZ</requestCode> <requestTime>2021-03-01 13:43:21</requestTime> <responseCode>DS</responseCode> <dataExchangeId>DZFPQZDFXJ1008202103016439d435-</dataExchangeId> </globalInfo> <returnStateInfo> <returnCode></returnCode> <returnMessage></returnMessage> </returnStateInfo> <Data><dataDescription> <zipCode>0</zipCode> </dataDescription> <content>PFJFUVVFU1RfQ09NTU9OX0ZQS1NIQyBjbGFzcz0iUkVRVUVTVF9DT01NT05fRlBLU0hDIj48RlBRUUxTSD4wMDAwMDA5MjgzMTAxPC9GUFFRTFNIPjxYU0ZfTUM+55m+5pe655S15a2Q5rWL6K+VMjwvWFNGX01DPjxYU0ZfTlNSU0JIPjExMDEwOTUwMDMyMTY1NTwvWFNGX05TUlNCSD48WUZQX0RNPjA1MDAwMzUyMTEwNzwvWUZQX0RNPjxZRlBfSE0+MzU2ODcwNjM8L1lGUF9ITT48L1JFUVVFU1RfQ09NTU9OX0ZQS1NIQz4=</content> <contentKey>4qH14G2qs3BsYt8AlJjn4L2B4xqvmSJilLdQWJfiJOhU4pYCt+SUydvtom101qqc</contentKey> </Data> </interface>
2021-03-01 13:43:21.585 [http-nio-2000-exec-10] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址-----:E:/zhys/e-invoice/service/access/2000.pfx
2021-03-01 13:43:21.585 [http-nio-2000-exec-10] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码-----:71817N
2021-03-01 13:43:21.585 [http-nio-2000-exec-10] INFO  top.anets.utils.guoXin.RequestUtils - http请求开始，请求地址：https://dev.fapiao.com:18944/fpt-dsqz/invoice
2021-03-01 13:43:36.757 [http-nio-2000-exec-1] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:0000009283
2021-03-01 13:43:36.777 [http-nio-2000-exec-1] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址:E:/zhys/e-invoice/service/access/2000.pfx
2021-03-01 13:43:36.777 [http-nio-2000-exec-1] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码:71817N
2021-03-01 13:43:36.777 [http-nio-2000-exec-1] INFO  top.anets.utils.GuoXin - 请求xml内容:<REQUEST_COMMON_FPKSHC class="REQUEST_COMMON_FPKSHC"><FPQQLSH>0000009283101</FPQQLSH><XSF_MC>百旺电子测试2</XSF_MC><XSF_NSRSBH>110109500321655</XSF_NSRSBH><YFP_DM>050003521107</YFP_DM><YFP_HM>35687063</YFP_HM></REQUEST_COMMON_FPKSHC>
2021-03-01 13:43:36.777 [http-nio-2000-exec-1] INFO  top.anets.utils.GuoXin - 秘钥:5EE6C2C11DD421F2
2021-03-01 13:43:36.778 [http-nio-2000-exec-1] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 请求报文:<?xml version='1.0' encoding='UTF-8'?> <interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ0.2"> <globalInfo> <appId>6d29f136114544bcc73edcce960c430231183cc192c433e2b9ebcad56e8ceb08</appId> <interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode> <requestCode>DZFPQZ</requestCode> <requestTime>2021-03-01 13:43:36</requestTime> <responseCode>DS</responseCode> <dataExchangeId>DZFPQZDFXJ10082021030184a4653c-</dataExchangeId> </globalInfo> <returnStateInfo> <returnCode></returnCode> <returnMessage></returnMessage> </returnStateInfo> <Data><dataDescription> <zipCode>0</zipCode> </dataDescription> <content>PFJFUVVFU1RfQ09NTU9OX0ZQS1NIQyBjbGFzcz0iUkVRVUVTVF9DT01NT05fRlBLU0hDIj48RlBRUUxTSD4wMDAwMDA5MjgzMTAxPC9GUFFRTFNIPjxYU0ZfTUM+55m+5pe655S15a2Q5rWL6K+VMjwvWFNGX01DPjxYU0ZfTlNSU0JIPjExMDEwOTUwMDMyMTY1NTwvWFNGX05TUlNCSD48WUZQX0RNPjA1MDAwMzUyMTEwNzwvWUZQX0RNPjxZRlBfSE0+MzU2ODcwNjM8L1lGUF9ITT48L1JFUVVFU1RfQ09NTU9OX0ZQS1NIQz4=</content> <contentKey>4qH14G2qs3BsYt8AlJjn4L2B4xqvmSJilLdQWJfiJOhU4pYCt+SUydvtom101qqc</contentKey> </Data> </interface>
2021-03-01 13:43:36.778 [http-nio-2000-exec-1] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址-----:E:/zhys/e-invoice/service/access/2000.pfx
2021-03-01 13:43:36.778 [http-nio-2000-exec-1] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码-----:71817N
2021-03-01 13:43:36.778 [http-nio-2000-exec-1] INFO  top.anets.utils.guoXin.RequestUtils - http请求开始，请求地址：https://dev.fapiao.com:18944/fpt-dsqz/invoice
2021-03-01 14:20:10.099 [RMI TCP Connection(11)-127.0.0.1] INFO  org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2021-03-01 14:20:10.103 [RMI TCP Connection(11)-127.0.0.1] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2021-03-01 14:20:10.106 [RMI TCP Connection(11)-127.0.0.1] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-03-01 14:20:10.109 [RMI TCP Connection(11)-127.0.0.1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-03-01 14:20:19.692 [main] INFO  top.anets.EinvoiceApplication - Starting EinvoiceApplication on WIN-3DFGP6SS4I1 with PID 20028 (D:\eclipse-sts\workspace\tmooc\E-invoice\target\classes started by Administrator in D:\eclipse-sts\workspace\tmooc\E-invoice)
2021-03-01 14:20:19.693 [main] INFO  top.anets.EinvoiceApplication - The following profiles are active: dev
2021-03-01 14:20:21.178 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-01 14:20:21.181 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-03-01 14:20:21.344 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 138ms. Found 0 repository interfaces.
2021-03-01 14:20:21.919 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 14:20:21.981 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [top.anets.redis.RedisConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 14:20:21.984 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisPoolConfig' of type [top.anets.redis.RedisPoolConfig$$EnhancerBySpringCGLIB$$d033bc9b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 14:20:21.999 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jedisPool' of type [redis.clients.jedis.JedisPool] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 14:20:22.001 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisService' of type [top.anets.redis.RedisService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-01 14:20:22.373 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 2000 (http)
2021-03-01 14:20:22.386 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-2000"]
2021-03-01 14:20:22.388 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-01 14:20:22.392 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-03-01 14:20:22.628 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-01 14:20:22.628 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2755 ms
2021-03-01 14:20:23.054 [main] INFO  top.anets.config.JCoDestinationPool - SAP测试环境》》》》》》》》》》》》》
2021-03-01 14:20:23.054 [main] INFO  top.anets.config.JCoDestinationPool - ==========================================
2021-03-01 14:20:44.123 [main] INFO  top.anets.config.JCoDestinationPool - Destination - ABAP_AS2 is invalidInitialization of destination ABAP_AS2 failed: Connect to SAP gateway failed
Connection parameters: TYPE=A DEST=ABAP_AS2 ASHOST=192.168.200.61 SYSNR=00 PCS=1

LOCATION    CPIC (TCP/IP) on local host with Unicode
ERROR       partner '192.168.200.61:3300' not reached
TIME        Mon Mar 01 14:20:44 2021
RELEASE     721
COMPONENT   NI (network interface)
VERSION     40
RC          -10
